Title,Category 
"Last year, the volume of global trade fell for just the third time in 30 years, according to the WTO. It says the 1.2% decline was linked to higher inflation and interest rates, and is forecasting a recovery this year.However those factors have their roots in events that are continuing to fundamentally reshape the global economy, the International Monetary Fund�s (IMF�s) first deputy managing director Gita Gopinath explained in a recent speech.�What we've seen in the last few years, I would say, especially when it comes to global trade relations, is nothing like we've seen since the end of the Cold War.""That�s affecting countries as far apart as Peru, Ghana and Vietnam as they increasingly find themselves having to choose between strengthening economic ties with the western powers, or a China-Russia axis.�We're also concerned about the emerging fragmentation that we see in the trade data,� says the WTO�s Dr Okonjo-Iweala. �We're seeing that trade between like-minded blocks is growing faster than trade across such blocks.�She warns that �it will be costly for the world� to continue down this path. WTO research has estimated that price at 5% of the global economy, whilst the IMF has suggested it could be nearer to 7% or $7.4tn (�5.8tn) of lost output in the long run.",Economics 
"he EU�s introduction of tariffs on Chinese-made EVs follows a surge in their exports to Europe over the last few years. Exports jumped from $1.6bn in value in 2020 to $11.5bn last year, according to one study, which said they now made up 37% of all EV imports into the EU.BYD, Geely and SAIC are some of the Chinese EV makers said to have benefitted from billions of dollars worth of government help.After many years of support Chinese EV companies no longer need that help, says Jens Eskelund, president of the European Union Chamber of Commerce in China. �They are today simply very competitive on their own terms. I think the introduction of tariffs is a symptom that something is out of balance.�When it comes to broader relationship, Mr Eskelund says it�s �mind boggling� that since 2017 the volume of goods that the EU has sold to China has fallen about a third, even though China�s economy has been growing steadily.Citing Chinese restrictions around market access for overseas firms, and tough security regulations, he adds: �I think it's fair to say that that Europe still remains a significantly more open market to Chinese companies, then the other way around. And that is obviously something that needs to change.�The chamber�s recent survey showed that members have the lowest confidence on record for investing in China.It comes as the EU is trying to lower its economic dependence on China. European Commission President Ursula von der Leyen last year described the need to �de-risk not de-couple� its relations with China.Whilst the EU and China are set to hold talks about the potential EV tariffs, Chinese state media has reported that retaliatory measures are being considered on EU goods including pork, cognac and luxury cars.However, there are other barriers for global trade to overcome, including in two of the most important arteries for moving goods around the world.",Economics 
"Whilst shipping costs are a small part of retail prices, Mr Habben Jansen says �these extra costs in the end get passed on� to consumers. That could end up pushing inflation up just as central banks are showing signs of getting it under control.That would be �detrimental to consumers,� says the WTO�s Dr Okonjo-Iweala.Despite all the tensions, she says trade has shown signs of resilience, and she adds that her organization can help countries solve their differences.Meanwhile, Dr Okonjo-Iweala admits that some WTO rules will need to change to help meet the challenge of climate change. �I strongly believe that some of our [global trade] rules, we do need to look at them,"" she says.",Economics 
"The Republic of Ireland's economy grew strongly in 2023, official figures suggest.The headline measure, gross national income (GNI), expanded by 5% according to the Central Statistics Office (CSO).Most countries use gross domestic product (GDP) as the key measure of economic performance but Irish GDP is badly distorted by the activities of multinational companies.GNI, which has been used since 2017, strips out the most distorting effects to give a more accurate picture of the real economy.It involves subtracting the retained profits of some firms which have Irish HQs and making adjustments for some foreign-owned assets which are located in Ireland.In contrast to the increase in GNI, there was a 5.5% fall in GDP due to reduced goods exports by multinational companies.The CSO�s assistant girector general, Chris Sibley, said: ""The more globalised sectors of the economy contracted for the first time since 2013. Overall, the multinational sector contraction was 16.2%.""By contrast the figures point to a recovering domestic economy with personal spending on goods and services rising by almost 5% in 2023.The Irish labour market has performed strongly over the last year with unemployment at record lows.Minister for Finance Jack Chambers said the CSO figures confirmed strong growth in the domestic economy.""Despite facing significant inflationary pressures, consumer spending nevertheless drove growth in the domestic economy,"" he added.""This performance reflects the strength of the labour market, which has been at full employment since mid-2022.""",Economics 
"The Bank of England has opened the door to cutting interest rates in August in what would be the first drop in borrowing costs for more than four years.On Thursday, the Bank voted to keep interest rates at a 16-year high of 5.25% in a close-run decision.Earlier this week, figures revealed that inflation � which measures the pace of price rises � had slowed to 2% in May, which is in line with the Bank of England�s target. However, prices of some items continued to rise faster than expected.But the minutes from the Bank�s rate-setting committee signalled a significant change in tone, indicating a majority could vote for a cut when they meet again on 1 August.�On that basis, the committee will keep under review for how long [the] bank rate should be maintained at its current level,"" the minutes said.While not a done deal, this language is a clear signal to the markets and the public that after the Bank completes its new forecasts for the economy, a rate cut is now the most likely outcome at its next meeting.The Bank of England's interest rate has a knock-on effect on mortgage, credit card and savings rates for millions of people across the UK.While the Bank appears to be hinting at a cut in August, many homeowners now coming to the end of a fixed-rate deal are facing mortgage rates much higher than they have become used to.The current average rate for a two-year fixed deal is 5.96%, although this is lower than last year's peak of 6.86%.",Economics 
"A plan to make Gloucestershire a ""UK capital"" for cutting-edge industries has been given the go-ahead by Shire Hall bosses.On Wednesday they approved a long-term version. Gloucestershire's Economic Strategy, which runs until 2034, has been put together with input from residents, businesses and partners following a public engagement period held last year, the Local Democracy Reporting Service said.The strategy also outlines how Gloucestershire will build on its strength as a prominent location in western England with ease of access to regional hubs in, and beyond, the Western Gateway.Mr Hawthorne said a strong local workforce is key to deliver long term economic growth.Mr Hawthorne said a strong local workforce is key to deliver long term economic growth.",Economics 
"Former Strictly Come Dancing professional dancer Giovanni Pernice has insisted �I�ll be back� after facing allegations about his behaviour on the show.His former dance partner Amanda Abbington had claimed his behaviour on Strictly was �unnecessary, abusive, cruel and mean�, in an interview with the Sun on Sunday.Strictly has confirmed the dancer will not be returning for the show's series this year, and his spokesperson has previously said he refuted the allegations and denied any accusations of abusive or threatening behaviour.Initially, the pair did not acknowledge the media storm that has surrounded Strictly in recent weeks.we had jokes, background dancers and a dizzying number of costume changes.In the bathroom during the interval, women were discussing the comments and saying they assumed he was referring to Abbington.", Entertainment
"Disco singer Evelyn Thomas, whose powerful voice helped define the Hi-NRG scene of the 1980s, has died at the age of 70.Her death was announced by her producer Ian Levine on social media.""The legacy that my mother left me is beyond words and the memories are undeniably beyond any monetary value,"" she wrote.I want to thank everyone for their prayers and kind words. Now it�s time to heal and to plan.After school, she moved to New York to study acting, and sang in early versions of musicals like The Wiz and Les Miserables.It was on a trip back to Chicago, to sing with her band The Move Mixers, that she was discovered by Levine.The Mancunian producer had come to the US to discover talent for his newly formed Voltafine Production Company.After falling in love with Thomas's voice, he cut some tracks with her and secured a recording contract with 20th Century Records.Her debut single, Weak Spot, became her first chart success, peaking at number 26 in the UK, and securing an appearance on Top Of The Pops.In 1984, she reunited with Levine to record High Energy - a soaring, joyful love song that, in the words of Smash Hits magazine, managed to ""straddle both gay disco and old Motown - the two main Hi-NRG ingredients.""It became a defining song for the genre, marrying Thomas's gospel-trained, four octave vocals to a pulsing electronic beat. In 2022, Rolling Stone magazine named it one of the top 200 dance songs of all time.DJ and music historian Bill Brewster commented, ""Evelyn�s voice had this incredible ability to convey both vulnerability and strength. She was a cornerstone of the hi-NRG movement.", Entertainment
"A love story between a white, heterosexual, working-class mechanic and a South Asian Muslim drag queen is shining a light on an underground LGBTQ+ subculture.Feature film Unicorns takes the viewer to the heart of the highly secretive so-called ""gaysian"" scene - an amalgamation of the words gay and Asian - and introduces its glamorous drag queens.On the surface [the gaysian scene is] extremely bright, very attractive... but underneath it's actually a very gritty, real and quite a hardcore world,"" added Floyd.I find that very frustrating and just so limiting.""""Everything in the film is based on either Asifa's experiences, my own experiences or South Asian drag queens that I now know very well - it all comes from reality,"" said Floyd.The love story begins when single father and mechanic Luke (played by Bohemian Rhapsody and former EastEnders actor Ben Hardy) mistakenly happens upon an underground club where Aysha is performing and they share a kiss before he realises she is a drag queen.The love story begins when single father and mechanic Luke (played by Bohemian Rhapsody and former EastEnders actor Ben Hardy) mistakenly happens upon an underground club where Aysha is performing and they share a kiss before he realises she is a drag queen.""Someone had recorded their tape in a bathroom and were talking very quietly because their family were in the house and and they didn't want to be overheard.""It was another moment of just reminding us why we're making this film,"" added Floyd.If we were making this film for anyone, it was for the gaysian community... because there hasn't been a film about them, certainly not a fictional feature film.""", Entertainment
"Eminem has earned his 11th number one album with The Death of Slim Shady.He joins a club of Taylor Swift, David Bowie, and U2, who have also had 11 chart-topping albums.The US rapper�s 12th album � in which, he kills off his alter ego, Slim Shady � had a mixed critical reception.Houdini, from the album, is number four on this week�s singles charts � it previously reached number one last month.Ahead of its release, Eminem told fans The Death of Slim Shady was a ""conceptual album"" and the songs should be listened to in order.Taylor Swift�s The Tortured Poets Department is still second on the albums chart, with popstar Griff making a new entry at number three, with debut album Vertigo.Meanwhile, in the singles chart, Sabrina Carpenter�s summer smash hit Espresso has hit number one for the seventh time.Both songs will feature on her forthcoming album Short �n Sweet, set to be released in August.", Entertainment
"Sabrina Carpenter, the US singer behind two of this summer's biggest songs, has broken a UK chart record, according to the Official Charts Company.The Pennsylvania-born star has become the first female artist to hold both the number one and number two positions on the singles chart for three consecutive weeks.The Beatles achieved the same feat in the 1960s, scoring the chart double on two separate occasions.The video for Please Please Please, starring Carpenter's boyfriend, actor Barry Keoghan, has so far attracted more than 44 million views on YouTube, while Espresso has almost twice as many.", Entertainment
"A young musician said supporting Take That on their European tour was an ""experience of a lifetime"".The 20-year-old has had more than 2.5 million views on YouTube for his song Teenage Mona Lisa. He has just finished studying for a music degree in London and said the opportunity to support Take That had come about through his management team's connections and being ""in the right place at the right time"".He said his favourite song by the group is Never Forget as it ""holds a personal place in my heart because after that song is when Howard gave me a shout out"".", Entertainment
"This year marks the 60th anniversary since Cambridge started celebrating all things ""folk"".The idea for the Cambridge Folk Festival began in 1964 with the first one taking place in the grounds of Cherry Hinton Hall in the city in 1965.In the autumn of 1964, Cambridge City Council decided to hold a music festival the following summer and approached local firefighter and political activist Ken Woollard, who was a regular attendee at the newly formed Cambridge Folk Club.Organisers found out he was playing at a private party in the nearby village of Shelford and roped him in for a 30-minute set for the princely sum of �15.It is very much a family festival and alongside the acts on the four stages, you will find people spontaneously breaking into song or having jam sessions around the site and the campsites.It is not just about the music, though, and like most festivals you will find a dizzying array of other distractions including world food trucks, yoga, tai-chi, ceilidhs, and creative workshops such as instrument making, willow sculpture, knitting, song writing, drawing and storytelling.", Entertainment
"Jack Quaid, best known for his starring role in Amazon�s �The Boys� TV series, says he is �inclined to agree� with those who call him a �nepo baby.�The actor � whose parents are film stars Meg Ryan and Dennis Quaid � made the comments in a podcast interview with The Daily Beast earlier this week.People have called me a �nepo baby.� I�m inclined to agree. I am an immensely privileged person, was able to get representation pretty early on, and that�s more than half the battle.��I knew the door was open for me in a lot of ways that it�s just not for a lot of actors,� he said of his background, adding that he has tried to �work as hard as I possibly can to prove that I deserve to walk through that doorQuaid was asked by the podcast if he ever considered following in the romantic comedy footsteps of his mother, who is known for classics like �When Harry Met Sally,� �Sleepless in Seattle� and �You�ve Got Mail.�", Entertainment
"Michael J. Fox celebrates his �mind blowing� Glastonbury performance with Coldplay. The actor joined Coldplay on guitar for a performance of their hit �Fix You� at the massive UK music festival over the weekend, and celebrated with a tribute to the band shared on social media.�Glastonbury all the love and thanks to the @coldplay team who took such great care of us. And many thanks to Chris, Will, Johnny, Guy and Phil,� Fox wrote, alongside a carousel of photos showing his time at the fest. �Oh yeah in case you were wondering�it was f*cking mind blowing. There is a time for every band and a band for every time. This is @coldplay�s time.�Video of their performance shared by the BBC showed frontman Chris Martin directing the spotlight to Fox.�The main reason we�re in a band is because of watching �Back to the Future,�� he said. �Thank you to our hero forever and one of the most amazing people on Earth, Mr. Michael J. Fox", Entertainment
"Alongside their more famous counterparts, they are being brought to life in the musical Fantastically Great Women Who Changed the World, as its latest reincarnation marches into London's The Other Palace theatre later this month.The women are lifted from the pages of the children's book series of the same name by Kate Pankhurst (a distant relative of Emmeline), with their achievements celebrated against a backdrop of catchy pop tracks.""This is one of those shows where you get to play around but at the same time, be educating people, allowing for women to just have... an empowering moment,"" she says.""Each day I come in, it's like I'm learning more and more. I didn't know Sacajawea. The only reference I had for her was actually The Night at the Museum film! (The Native American explorer is a character in the 2006 hit film).", Entertainment
"Of course, Criston engages in a misstep of his own at the outset, parading the slain dragon of the equally dead Rhaenys (Eve Best, we hardly knew ye) through the town, unsettling the common folk. That death also leaves her husband, Lord Corlys Velaryon (Steve Toussaint), shattered and in mourning, as both sides grapple with their casualties.Beyond that, the fifth episode represents a bit of a breather � as �Game of Thrones� and now �House of the Dragon� tend to do after major conflicts � as the warring factions seek to secure support for their war efforts, with Daemon, for one, wrestling with the demands of diplomacy as opposed to his scorched-earth tactics.", Entertainment
"Actor Treat Williams earns posthumous Emmy nomination for final role in �Feud�. Late actor Treat Williams was among the crop of Primetime Emmy Award nominees on Wednesday morning, earning a posthumous nod for his role in �Feud: Capote vs. the Swans.�Williams was honored for his portrayal of William S. Paley, the famed television executive. (Naomi Watts played his wife on the period show.) He was nominated in the supporting actor in a limited or anthology series or movie category, and it was his second Emmy nomination following his nod in 1996 for �The Late Shift.�Williams� costar Chlo� Sevigny also paid tribute to him on social media, writing in a celebratory Instagram post about the show�s Emmy nominations, �to our dear Treat, you are missed.��Feud� received four Emmy nominations for acting, including the one for Williams, and ten total. Diane Lane, Watts and Tom Hollander were the other actors who earned individual honors.", Entertainment
"Alexis Smith was crowned Miss Kansas last month. She wowed audiences when she told them that her abuser was in the audience, reinforcing her platform of ending domestic violence. Being a pageant winner takes more than beauty and talent. The newly crowned Miss Kansas Alexis Smith showed that winning the title sometimes requires bravery, too.Smith stunned the judges during her final interview at the Miss Kansas competition last month when she said that her abuser was in the audience.�But that�s not going to stop me from being on this Miss Kansas stage and from representing as the next Miss Kansas,� she continued to applause and cheers.", Entertainment
"The night before Will Mellor was offered a part in a TV drama about a scandal at the Post Office, he was thinking about giving up acting altogether.He had been a familiar face on British screens for decades, but work had started to dry up.However, the next day his agent called to offer him the role of former sub-postmaster Lee Castleton in ITV's Mr Bates vs the Post Office.He soon realised it was more important than any part he had played before � and it would come to change the course of his life altogether.Twenty-five years after the first convictions for theft and fraud, the four-part drama sparked mass public interest in the Post Office scandal like never before.", Entertainment
"Nag Ashwin directed Kalki 2898 AD will long be remembered as one those films that rewrote box office history. The film has been doing that since the day of its release not only in India, but also in North America, one of the biggest markets for Telugu films.The film has also gone on the become the second highest gross.t would be interesting to see where Kalki's journey ends, and if it will be able to beat Baahubali-2�s numbers. This is a rare occasion where Prabhas� two films are amongst the top 3 highest grossing Indian films North America.", Entertainment
"Strictly Come Dancing has been one of the BBC's most iconic and beloved shows for the past 20 years.But recently, it has been hitting the headlines for all the wrong reasons, amid allegations concerning two of its professional dancers.Pernice has denied any suggestions of abusive or threatening behaviour during rehearsals.But the saga has raised question marks over what's really happening behind the scenes.Pernice also commented on Instagram, writing: ""I am so sad we can't continue but I am proud of what we achieved and I am sending you so much love.""The dancer added that he was looking forward to clearing his name.In a statement on Instagram, he said he ""deeply regrets"" the events leading up to his departure and acknowledged that his ""intense passion and determination to win might have affected my training regime"".", Entertainment
"For a while, there's been talk of 'the death of stardom', with young actors not able to match the clout of Tom Cruise, Julia Roberts, Will Smith et al. But that might be changing.There has been no lack of conjecture about what, precisely, makes a Movie Star. Most people would easily name examples for you, but might struggle to define why or how those examples were special. Film scholar Richard Dyer calls the star both ""ordinary and extraordinary"" in his seminal 1979 text, Stars, while academic and writer Jeanine Basinger, in her 2007 book The Star Machine, writes of Hollywood's production line: ""Sometimes a manufactured product turned out perfectly. Sometimes it blew up in the shopping cart"". And as Lauren Bacall once put it: ""Stardom isn't a profession. It's an accident.""For the powers that be, it certainly seems that whenever you try to bottle it or reproduce stardom, it vanishes. Many square-jawed hunks who look the part � say, Sam Worthington in Avatar, for instance � have been tried out by major Hollywood studios and fallen totally flat with audiences. Meanwhile others � like skinny teenager Timoth�e Chalamet in gay romance Call Me By Your Name � have climbed a strange and stellar path to the A-list. He is starring in mega-sci-fi franchise Dune, whereas in another decade he'd be doomed to playing foppish kid brothers in perpetuity. The fact that stardom has a kind of sketchy refusal to follow any exact science is maybe what makes it so endlessly fascinating to discuss.", Entertainment
"In a changing Hollywood post-Covid, with cinemas under threat and once-all-powerful streamers in disarray, it has been said frequently that there are no new movie stars. Perhaps movies had become too CGI-driven, too high-concept, too much about explosions and superheroes to really care about the human element, or faces in close-up that had been central to drawing crowds in the past. As Charles Bramesco, a film critic for The Guardian with a special interest in film stardom, says: ""The dearth of movie stars is downstream from a grander and more elaborate problem, which is the studio system's turn away from the mid-budget vehicles that turned likeable talents into household names"". In recent years, there have been many less adult dramas, as well as comedies, especially of the romantic variety, which as Bramesco points out, ""were once the bread and butter of Big Hollywood � but the (false) industry wisdom that they can't be banked on as reliably as special-effects bonanzas has resulted in big-time brain drain"".That might account for why one of our biggest current contenders for the role of Movie Star � Glen Powell � first got mainstream audience members' attention with the box-office success of a romantic comedy. Last year's rom-com Anyone But You, opposite fellow burgeoning star Sydney Sweeney, is the kind of late 90s/early 00�s throwback wherein two very attractive people hate each other but through a series of zany plot machinations are forced to admit they actually love each other. Powell, handsome in the old-school sense, with wavy blond hair and a sharp jawline, is a Texan to top it all off (even his name makes him sound like he should be in 1940s pictures with the likes of Tyrone Power). Powell first played supporting roles in films like Top Gun: Maverick as the jock you loved to hate but also kind of loved. (Tim Rothman, chairman and CEO of Sony Pictures, recently told Variety that ""Glen is the classic example of talent meeting opportunity."") Anyone But You went on to gross $220 million in cinemas internationally, starting off slow but becoming a sleeper hit, through word-of-mouth and a long theatrical window.", Entertainment
"That might account for why one of our biggest current contenders for the role of Movie Star � Glen Powell � first got mainstream audience members' attention with the box-office success of a romantic comedy. Last year's rom-com Anyone But You, opposite fellow burgeoning star Sydney Sweeney, is the kind of late 90s/early 00�s throwback wherein two very attractive people hate each other but through a series of zany plot machinations are forced to admit they actually love each other. Powell, handsome in the old-school sense, with wavy blond hair and a sharp jawline, is a Texan to top it all off (even his name makes him sound like he should be in 1940s pictures with the likes of Tyrone Power). Powell first played supporting roles in films like Top Gun: Maverick as the jock you loved to hate but also kind of loved. (Tim Rothman, chairman and CEO of Sony Pictures, recently told Variety that ""Glen is the classic example of talent meeting opportunity."") Anyone But You went on to gross $220 million in cinemas internationally, starting off slow but becoming a sleeper hit, through word-of-mouth and a long theatrical window.And so, slowly, unexpectedly, along has come a new crop of screen talent that is finally leaving an impression again. Margot Robbie, who had first registered as little more than an impressively sexy blip on the Hollywood radar after her turn in Martin Scorsese's Wolf of Wall Street, has seized control of her career, become a creative producer, and taken on a series of roles cementing her as a Movie Star. Now, she's Barbie. And then there's been the rise of throwback cornfed all-American boys like Austin Butler, who shot to fame for his heavily Method performance in Baz Luhrmann�s biopic Elvis. The Hollywood Reporter, who recently published a ""new A-list"" piece with Butler at the top, shares that the industry talk is about Butler as a leading man for all seasons. Another big cultural presence is Zendaya, whose earnings for co-producing and starring in sexy sports flick Challengers totalled $10 million alone, with its success proving that she could transcend it-girl status for a proper screen role in an original, non-franchise studio film. If THR are to be believed, there really is a brand new wave of bona-fide Movie Stars primed for our screens.", Entertainment
"None of these figures were overnight sensations, and in fact, few real movie stars are. There's often one major film that is identified in retrospect as their star-making turn, but there are years of forgotten television roles and smaller parts that build up the constellation before a Movie Star emerges. Butler was a child star on Nickelodeon for much of his adolescence; Robbie, like many of her Australian cohort, first appeared on popular daytime soap Neighbours; Powell appeared in small parts in films like Hidden Figures, and many others emerged from television to serious acting careers, with HBO's teen drama Euphoria boasting a pretty remarkable trio of alumni: Zendaya, Jacob Elordi and Sydney Sweeney.The parasocial dimension of fandom has never been stronger, and media (social and otherwise) lies at the heart of the belief that stars are our friends.The parasocial dimension of fandom has never been stronger, and media (social and otherwise) lies at the heart of the belief that stars are our friends ", Entertainment
